Label,data
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.22534197568893433, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.2219463437795639, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.22873760759830475, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.21855071187019348, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.22873760759830475, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.21855071187019348, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.22873760759830475, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.21855071187019348, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.22534197568893433, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.21855071187019348, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.22873760759830475, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.21855071187019348, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.22873760759830475, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.21855071187019348, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.22873760759830475, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.21855071187019348, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.22534197568893433, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.2219463437795639, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.22534197568893433, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.2219463437795639, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.2219463437795639, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.22534197568893433, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.2219463437795639, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.22534197568893433, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.2219463437795639, 0.18333333730697632]"
0,"[0.3402847349643707, 0.6666666865348816, 0.39652684330940247, 0.49444442987442017, 0.31978660821914673, 0.4611110985279083, 0.08277782052755356, 0.18333333730697632, 0.22534197568893433, 0.18333333730697632]"
