Label,data
0,"[0.5604370832443237, 0.8388888835906982, 0.2729531228542328, 0.5055555701255798, 0.1922900378704071, 0.4722222089767456, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5604370832443237, 0.8388888835906982, 0.2729531228542328, 0.5055555701255798, 0.1922900378704071, 0.4722222089767456, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5604370832443237, 0.8388888835906982, 0.2729531228542328, 0.5055555701255798, 0.1922900378704071, 0.4722222089767456, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5604370832443237, 0.8388888835906982, 0.2729531228542328, 0.5055555701255798, 0.1922900378704071, 0.4722222089767456, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5604370832443237, 0.8388888835906982, 0.2729531228542328, 0.5055555701255798, 0.1922900378704071, 0.4722222089767456, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5604370832443237, 0.8388888835906982, 0.2729531228542328, 0.5055555701255798, 0.1922900378704071, 0.4722222089767456, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5604370832443237, 0.8388888835906982, 0.2729531228542328, 0.5055555701255798, 0.1922900378704071, 0.4722222089767456, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5604370832443237, 0.8388888835906982, 0.2729531228542328, 0.5055555701255798, 0.1922900378704071, 0.4722222089767456, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5604370832443237, 0.8388888835906982, 0.2729531228542328, 0.5055555701255798, 0.1922900378704071, 0.4722222089767456, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5604370832443237, 0.8388888835906982, 0.2729531228542328, 0.5055555701255798, 0.1922900378704071, 0.4722222089767456, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
