Label,data
0,"[0.07185240834951401, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.405195951461792, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.405195951461792, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.42117244005203247, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.3892194926738739, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.405195951461792, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.41318419575691223, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.3892194926738739, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.42117244005203247, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.405195951461792, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.39720773696899414, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.42117244005203247, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.39720773696899414, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.39720773696899414, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.42117244005203247, 0.15555556118488312]"
0,"[0.07622136175632477, 0.6166666746139526, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.39720773696899414, 0.15555556118488312]"
0,"[0.07622136175632477, 0.6166666746139526, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.41318419575691223, 0.15555556118488312]"
0,"[0.07622136175632477, 0.6166666746139526, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.41318419575691223, 0.15555556118488312]"
0,"[0.07622136175632477, 0.6166666746139526, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.39720773696899414, 0.15555556118488312]"
0,"[0.07622136175632477, 0.6166666746139526, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.42117244005203247, 0.15555556118488312]"
0,"[0.07622136175632477, 0.6166666746139526, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.405195951461792, 0.15555556118488312]"
0,"[0.07622136175632477, 0.6166666746139526, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.39720773696899414, 0.15555556118488312]"
0,"[0.07622136175632477, 0.6166666746139526, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.42117244005203247, 0.15555556118488312]"
0,"[0.07622136175632477, 0.6166666746139526, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.39720773696899414, 0.15555556118488312]"
0,"[0.07102605700492859, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.405195951461792, 0.15555556118488312]"
0,"[0.07102605700492859, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.41318419575691223, 0.15555556118488312]"
0,"[0.07102605700492859, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.3892194926738739, 0.15555556118488312]"
0,"[0.07102605700492859, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.42117244005203247, 0.15555556118488312]"
0,"[0.07102605700492859, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.405195951461792, 0.15555556118488312]"
0,"[0.07102605700492859, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.39720773696899414, 0.15555556118488312]"
0,"[0.07102605700492859, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.42117244005203247, 0.15555556118488312]"
0,"[0.07102605700492859, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.39720773696899414, 0.15555556118488312]"
0,"[0.07102605700492859, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.405195951461792, 0.15555556118488312]"
0,"[0.07102605700492859, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.42117244005203247, 0.15555556118488312]"
0,"[0.07102605700492859, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.42117244005203247, 0.15555556118488312]"
0,"[0.07102605700492859, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.41318419575691223, 0.15555556118488312]"
0,"[0.07102605700492859, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.405195951461792, 0.15555556118488312]"
0,"[0.07102605700492859, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.39720773696899414, 0.15555556118488312]"
0,"[0.07102605700492859, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.42117244005203247, 0.15555556118488312]"
0,"[0.07102605700492859, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.39720773696899414, 0.15555556118488312]"
0,"[0.07102605700492859, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.405195951461792, 0.15555556118488312]"
0,"[0.07102605700492859, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.42117244005203247, 0.15555556118488312]"
0,"[0.07102605700492859, 0.6111111044883728, 0.3689345121383667, 0.4888888895511627, 0.12173636257648468, 0.1111111119389534, 0.17167578637599945, 0.15555556118488312, 0.39720773696899414, 0.15555556118488312]"
